destino,tipo,edificio,piso,ruta_desde_m1,ruta_desde_m5,elementos_accesibles,advertencias,observaciones
Biblioteca,Servicio,Biblioteca,Varios niveles,"Ingresar por M1 usando la rampa principal, avanzar hacia el sector de biblioteca y utilizar la rampa de acceso. Si se requiere subir o bajar pisos, usar el ascensor.","Ingresar por M5, avanzar hacia el sector central del campus y dirigirse hacia biblioteca. Usar la rampa de acceso y el ascensor si corresponde.",Rampa de acceso y ascensor en biblioteca.,No cuenta con baños registrados.,Falta complementar detalle de salas de estudio por piso.
Gimnasio,Servicio,Gimnasio,Subterráneo,Ingresar por M1 usando la rampa principal y avanzar hacia el sector del casino. El gimnasio se encuentra frente al casino.,Ingresar por M5 y avanzar hacia el sector del casino. El gimnasio se encuentra frente al casino.,No se registran rampas ni ascensor hacia el gimnasio.,"El acceso identificado es mediante escaleras, por lo que presenta accesibilidad limitada.",Debe revisarse en terreno si existe una alternativa accesible.
M10,Edificio,M10,2 pisos,"Salir del campus principal y dirigirse hacia el edificio M10, que se encuentra apartado. Considerar que no cuenta con rampa ni ascensor.",Salir por el sector de M5 y dirigirse hacia el edificio M10. Considerar que no cuenta con rampa ni ascensor.,No se registran elementos accesibles principales.,"Entrada poco accesible, puerta pequeña, edificio antiguo y sin ascensor.",Accesibilidad baja para personas con movilidad reducida.
M2,,,,,,,,
